GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
1699410117112,SushiGo,3,GAME_OVER,60,0,2,62,2,GroupT,2,1,1,BasicMCTS,GroupT,38.0,48.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117113,SushiGo,3,GAME_OVER,61,0,2,63,2,GroupT,2,1,1,BasicMCTS,GroupT,45.0,46.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117114,SushiGo,3,GAME_OVER,60,0,2,64,2,GroupT,2,1,1,BasicMCTS,GroupT,48.0,52.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117115,SushiGo,3,GAME_OVER,62,0,2,65,2,GroupT,2,1,1,BasicMCTS,GroupT,37.0,59.0,BasicMCTS,BasicMCTS,GroupT,0
1699410117116,SushiGo,3,GAME_OVER,60,0,2,66,1,GroupT,1,1,1,BasicMCTS,GroupT,37.0,37.0,BasicMCTS,BasicMCTS,GroupT,-1
1699410117117,SushiGo,3,GAME_OVER,62,0,2,67,1,GroupT,1,2,2,BasicMCTS,GroupT,47.0,40.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117118,SushiGo,3,GAME_OVER,60,0,2,68,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,55.0,59.0,GroupT,GroupT,BasicMCTS,0
1699410117119,SushiGo,3,GAME_OVER,63,0,2,69,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,40.0,46.0,GroupT,GroupT,BasicMCTS,0
1699410117120,SushiGo,3,GAME_OVER,61,0,2,70,1,BasicMCTS,1,1,1,GroupT,BasicMCTS,36.0,36.0,GroupT,GroupT,BasicMCTS,-1
1699410117121,SushiGo,3,GAME_OVER,61,0,2,71,1,BasicMCTS,1,2,2,GroupT,BasicMCTS,41.0,38.0,GroupT,GroupT,BasicMCTS,1
1699410117122,SushiGo,3,GAME_OVER,60,0,2,72,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,47.0,49.0,GroupT,GroupT,BasicMCTS,0
1699410117123,SushiGo,3,GAME_OVER,61,0,2,73,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,46.0,58.0,GroupT,GroupT,BasicMCTS,0
1699410117124,SushiGo,3,GAME_OVER,60,0,2,74,1,GroupT,1,2,2,BasicMCTS,GroupT,57.0,44.0,BasicMCTS,BasicMCTS,GroupT,1
1699410117125,SushiGo,3,GAME_OVER,62,0,2,75,2,BasicMCTS,2,1,1,GroupT,BasicMCTS,46.0,56.0,GroupT,GroupT,BasicMCTS,0
1699410117126,SushiGo,3,GAME_OVER,61,0,2,76,1,BasicMCTS,1,1,1,GroupT,BasicMCTS,48.0,48.0,GroupT,GroupT,BasicMCTS,-1
1699410117127,SushiGo,3,GAME_OVER,62,0,2,77,1,GroupT,1,2,2,BasicMCTS,GroupT,43.0,41.0,BasicMCTS,BasicMCTS,GroupT,1
